model,fold,params,param_key,macro_f1,mean_absolute_age_error,severe_error_rate
decision_tree,5,"{'max_depth': 12, 'min_samples_leaf': 3, 'class_weight': 'balanced', 'fit_weight': 'none'}","[('class_weight', 'balanced'), ('fit_weight', 'none'), ('max_depth', 12), ('min_samples_leaf', 3)]",0.5879474176938679,0.45982142857142855,0.12946428571428573
decision_tree,1,"{'max_depth': None, 'min_samples_leaf': 1, 'class_weight': None, 'fit_weight': 'none'}","[('class_weight', None), ('fit_weight', 'none'), ('max_depth', None), ('min_samples_leaf', 1)]",0.7192868513212354,0.09777777777777778,0.022222222222222223
decision_tree,2,"{'max_depth': None, 'min_samples_leaf': 1, 'class_weight': None, 'fit_weight': 'none'}","[('class_weight', None), ('fit_weight', 'none'), ('max_depth', None), ('min_samples_leaf', 1)]",0.7017695754537859,0.16,0.044444444444444446
decision_tree,3,"{'max_depth': None, 'min_samples_leaf': 1, 'class_weight': None, 'fit_weight': 'none'}","[('class_weight', None), ('fit_weight', 'none'), ('max_depth', None), ('min_samples_leaf', 1)]",0.6358543417366948,0.18222222222222223,0.044444444444444446
decision_tree,4,"{'max_depth': None, 'min_samples_leaf': 1, 'class_weight': None, 'fit_weight': 'none'}","[('class_weight', None), ('fit_weight', 'none'), ('max_depth', None), ('min_samples_leaf', 1)]",0.6361681574239715,0.16964285714285715,0.03571428571428571
decision_tree,5,"{'max_depth': None, 'min_samples_leaf': 1, 'class_weight': None, 'fit_weight': 'none'}","[('class_weight', None), ('fit_weight', 'none'), ('max_depth', None), ('min_samples_leaf', 1)]",0.7716408359476206,0.12946428571428573,0.03571428571428571
decision_tree,1,"{'max_depth': None, 'min_samples_leaf': 1, 'class_weight': 'balanced', 'fit_weight': 'none'}","[('class_weight', 'balanced'), ('fit_weight', 'none'), ('max_depth', None), ('min_samples_leaf', 1)]",0.7049840015057407,0.13333333333333333,0.03111111111111111
decision_tree,2,"{'max_depth': None, 'min_samples_leaf': 1, 'class_weight': 'balanced', 'fit_weight': 'none'}","[('class_weight', 'balanced'), ('fit_weight', 'none'), ('max_depth', None), ('min_samples_leaf', 1)]",0.6928951452006207,0.17777777777777778,0.057777777777777775
decision_tree,3,"{'max_depth': None, 'min_samples_leaf': 1, 'class_weight': 'balanced', 'fit_weight': 'none'}","[('class_weight', 'balanced'), ('fit_weight', 'none'), ('max_depth', None), ('min_samples_leaf', 1)]",0.6644967989478375,0.2,0.057777777777777775
decision_tree,4,"{'max_depth': None, 'min_samples_leaf': 1, 'class_weight': 'balanced', 'fit_weight': 'none'}","[('class_weight', 'balanced'), ('fit_weight', 'none'), ('max_depth', None), ('min_samples_leaf', 1)]",0.6306548579625503,0.22767857142857142,0.07589285714285714
decision_tree,5,"{'max_depth': None, 'min_samples_leaf': 1, 'class_weight': 'balanced', 'fit_weight': 'none'}","[('class_weight', 'balanced'), ('fit_weight', 'none'), ('max_depth', None), ('min_samples_leaf', 1)]",0.6901357990783973,0.24553571428571427,0.06696428571428571
decision_tree,1,"{'max_depth': None, 'min_samples_leaf': 3, 'class_weight': None, 'fit_weight': 'none'}","[('class_weight', None), ('fit_weight', 'none'), ('max_depth', None), ('min_samples_leaf', 3)]",0.6921909321909322,0.10666666666666667,0.02666666666666667
decision_tree,2,"{'max_depth': None, 'min_samples_leaf': 3, 'class_weight': None, 'fit_weight': 'none'}","[('class_weight', None), ('fit_weight', 'none'), ('max_depth', None), ('min_samples_leaf', 3)]",0.7229332985854725,0.1288888888888889,0.04
decision_tree,3,"{'max_depth': None, 'min_samples_leaf': 3, 'class_weight': None, 'fit_weight': 'none'}","[('class_weight', None), ('fit_weight', 'none'), ('max_depth', None), ('min_samples_leaf', 3)]",0.6063455252230762,0.19555555555555557,0.057777777777777775
decision_tree,4,"{'max_depth': None, 'min_samples_leaf': 3, 'class_weight': None, 'fit_weight': 'none'}","[('class_weight', None), ('fit_weight', 'none'), ('max_depth', None), ('min_samples_leaf', 3)]",0.7015658850952968,0.14732142857142858,0.044642857142857144
decision_tree,5,"{'max_depth': None, 'min_samples_leaf': 3, 'class_weight': None, 'fit_weight': 'none'}","[('class_weight', None), ('fit_weight', 'none'), ('max_depth', None), ('min_samples_leaf', 3)]",0.7246223164590512,0.08928571428571429,0.026785714285714284
decision_tree,1,"{'max_depth': None, 'min_samples_leaf': 3, 'class_weight': 'balanced', 'fit_weight': 'none'}","[('class_weight', 'balanced'), ('fit_weight', 'none'), ('max_depth', None), ('min_samples_leaf', 3)]",0.5774074736277489,0.30666666666666664,0.08888888888888889
decision_tree,2,"{'max_depth': None, 'min_samples_leaf': 3, 'class_weight': 'balanced', 'fit_weight': 'none'}","[('class_weight', 'balanced'), ('fit_weight', 'none'), ('max_depth', None), ('min_samples_leaf', 3)]",0.6635706939816528,0.29333333333333333,0.08444444444444445
decision_tree,3,"{'max_depth': None, 'min_samples_leaf': 3, 'class_weight': 'balanced', 'fit_weight': 'none'}","[('class_weight', 'balanced'), ('fit_weight', 'none'), ('max_depth', None), ('min_samples_leaf', 3)]",0.5784578371225791,0.29777777777777775,0.08444444444444445
decision_tree,4,"{'max_depth': None, 'min_samples_leaf': 3, 'class_weight': 'balanced', 'fit_weight': 'none'}","[('class_weight', 'balanced'), ('fit_weight', 'none'), ('max_depth', None), ('min_samples_leaf', 3)]",0.5783665201970032,0.41964285714285715,0.13839285714285715
decision_tree,5,"{'max_depth': None, 'min_samples_leaf': 3, 'class_weight': 'balanced', 'fit_weight': 'none'}","[('class_weight', 'balanced'), ('fit_weight', 'none'), ('max_depth', None), ('min_samples_leaf', 3)]",0.6127884615384616,0.38839285714285715,0.12053571428571429
decision_tree,1,"{'max_depth': 8, 'min_samples_leaf': 1, 'class_weight': None, 'fit_weight': 'balanced'}","[('class_weight', None), ('fit_weight', 'balanced'), ('max_depth', 8), ('min_samples_leaf', 1)]",0.6572707712677921,0.28,0.06222222222222222
decision_tree,2,"{'max_depth': 8, 'min_samples_leaf': 1, 'class_weight': None, 'fit_weight': 'balanced'}","[('class_weight', None), ('fit_weight', 'balanced'), ('max_depth', 8), ('min_samples_leaf', 1)]",0.6516136979551613,0.3022222222222222,0.06666666666666667
decision_tree,3,"{'max_depth': 8, 'min_samples_leaf': 1, 'class_weight': None, 'fit_weight': 'balanced'}","[('class_weight', None), ('fit_weight', 'balanced'), ('max_depth', 8), ('min_samples_leaf', 1)]",0.5821494817239498,0.39555555555555555,0.057777777777777775
decision_tree,4,"{'max_depth': 8, 'min_samples_leaf': 1, 'class_weight': None, 'fit_weight': 'balanced'}","[('class_weight', None), ('fit_weight', 'balanced'), ('max_depth', 8), ('min_samples_leaf', 1)]",0.54796464297284,0.5,0.14732142857142858
decision_tree,5,"{'max_depth': 8, 'min_samples_leaf': 1, 'class_weight': None, 'fit_weight': 'balanced'}","[('class_weight', None), ('fit_weight', 'balanced'), ('max_depth', 8), ('min_samples_leaf', 1)]",0.5597272322624435,0.875,0.20535714285714285
decision_tree,1,"{'max_depth': 8, 'min_samples_leaf': 3, 'class_weight': None, 'fit_weight': 'balanced'}","[('class_weight', None), ('fit_weight', 'balanced'), ('max_depth', 8), ('min_samples_leaf', 3)]",0.5038491717523976,0.4088888888888889,0.09777777777777778
decision_tree,2,"{'max_depth': 8, 'min_samples_leaf': 3, 'class_weight': None, 'fit_weight': 'balanced'}","[('class_weight', None), ('fit_weight', 'balanced'), ('max_depth', 8), ('min_samples_leaf', 3)]",0.6035133264105227,0.4,0.09777777777777778
decision_tree,3,"{'max_depth': 8, 'min_samples_leaf': 3, 'class_weight': None, 'fit_weight': 'balanced'}","[('class_weight', None), ('fit_weight', 'balanced'), ('max_depth', 8), ('min_samples_leaf', 3)]",0.5279880373201913,0.44,0.07111111111111111
